key,en,context
"emergency_translations","emergency.translations","components\multilingual-emergency-assistant.tsx"
"common_copy","common.copy","components\multilingual-emergency-assistant.tsx"
"emergency_tip","emergency.tip","components\multilingual-emergency-assistant.tsx"
"emergency_tiptext","emergency.tipText","components\multilingual-emergency-assistant.tsx"
"map_content","./map-content","components\map-view.tsx"
"count","count","components\map-view.tsx"
"id_responder_id_latitude_longitude_last_updated_st","id,
          responder_id,
          latitude,
          longitude,
          last_updated,
          status,
          accuracy,
          responders!inner (
            id,
            organization,
            specializations,
            verification_status,
            active,
            user_id,
            profiles (
              email
            )
          )","components\map-view.tsx"
"map","map","components\map-view.tsx"
"getlocation","getLocation","components\map-view.tsx"
"legend","Legend","components\map-view.tsx"
"your_location","Your Location","components\map-view.tsx; components\map-content.tsx"
"react_leaflet","react-leaflet","components\map-content.tsx"
"openstreetmap","OpenStreetMap","components\map-content.tsx"
"you_are_here","You are here","components\map-content.tsx"
"language_detected","Language Detected!","components\language-detection-popup.tsx"
"emergency_alerts_in_your_native_language","Emergency alerts in your native language","components\language-detection-popup.tsx"
"better_communication_with_responders","Better communication with responders","components\language-detection-popup.tsx"
"faster_help_in_emergencies","Faster help in emergencies","components\language-detection-popup.tsx"
"howitworks_step1title","howItWorks.step1Title","components\how-it-works.tsx"
"howitworks_step1desc","howItWorks.step1Desc","components\how-it-works.tsx"
"howitworks_step2title","howItWorks.step2Title","components\how-it-works.tsx"
"howitworks_step2desc","howItWorks.step2Desc","components\how-it-works.tsx"
"howitworks_step3title","howItWorks.step3Title","components\how-it-works.tsx"
"howitworks_step3desc","howItWorks.step3Desc","components\how-it-works.tsx"
"howitworks_step4title","howItWorks.step4Title","components\how-it-works.tsx"
"howitworks_step4desc","howItWorks.step4Desc","components\how-it-works.tsx"
"howitworks_badge","howItWorks.badge","components\how-it-works.tsx"
"howitworks_title","howItWorks.title","components\how-it-works.tsx"
"howitworks_subtitle","howItWorks.subtitle","components\how-it-works.tsx"
"home_emergencyresponsewithoutborders","home.emergencyResponseWithoutBorders","components\hero.tsx"
"home_aipoweredplatformdescription","home.aiPoweredPlatformDescription","components\hero.tsx"
"registerasresponder","registerAsResponder","components\hero.tsx"
"coverage","coverage","components\hero.tsx"
"globalimpact_title","globalImpact.title","components\global-impact.tsx"
"globalimpact_description","globalImpact.description","components\global-impact.tsx"
"globalimpact_verifiedresponders","globalImpact.verifiedResponders","components\global-impact.tsx"
"globalimpact_countriescovered","globalImpact.countriesCovered","components\global-impact.tsx"
"globalimpact_languagessupported","globalImpact.languagesSupported","components\global-impact.tsx"
"globalimpact_alwaysavailable","globalImpact.alwaysAvailable","components\global-impact.tsx"
"footer_description","footer.description","components\footer.tsx"
"footer_platform","footer.platform","components\footer.tsx"
"footer_resources","footer.resources","components\footer.tsx"
"footer_copyright","footer.copyright","components\footer.tsx"
"lingo_dev","Lingo.dev","components\footer.tsx"
"selected_files","Selected Files:","components\file-upload.tsx"
"uploaded_files","Uploaded Files:","components\file-upload.tsx"
"file_upload","File upload","components\file-upload.tsx"
"filetypenotaccepted","fileTypeNotAccepted","components\file-upload-v2.tsx"
"uploadfailed","uploadFailed","components\file-upload-v2.tsx"
"maxfilesexceeded","maxFilesExceeded","components\file-upload-v2.tsx"
"dropfileshere","dropFilesHere","components\file-upload-v2.tsx"
"draganddropfiles","dragAndDropFiles","components\file-upload-v2.tsx"
"orclicktobrowse","orClickToBrowse","components\file-upload-v2.tsx"
"acceptedtypes","acceptedTypes","components\file-upload-v2.tsx"
"maxfiles","maxFiles","components\file-upload-v2.tsx"
"uploadedfiles","uploadedFiles","components\file-upload-v2.tsx"
"uploaded","uploaded","components\file-upload-v2.tsx"
"retry","retry","components\file-upload-v2.tsx"
"features_aitranslation","features.aiTranslation","components\features.tsx"
"features_aitranslationdescription","features.aiTranslationDescription","components\features.tsx"
"features_smartlocation","features.smartLocation","components\features.tsx"
"features_smartlocationdescription","features.smartLocationDescription","components\features.tsx"
"features_realtimealerts","features.realTimeAlerts","components\features.tsx"
"features_realtimealertsdescription","features.realTimeAlertsDescription","components\features.tsx"
"features_verifiednetwork","features.verifiedNetwork","components\features.tsx"
"features_verifiednetworkdescription","features.verifiedNetworkDescription","components\features.tsx"
"features_responderdashboard","features.responderDashboard","components\features.tsx"
"features_responderdashboarddescription","features.responderDashboardDescription","components\features.tsx"
"features_globalcoverage","features.globalCoverage","components\features.tsx"
"features_globalcoveragedescription","features.globalCoverageDescription","components\features.tsx"
"features_title","features.title","components\features.tsx"
"features_description","features.description","components\features.tsx"
"database_tables_test","Database Tables Test","components\database-test-panel.tsx"
"setup_required","Setup Required:","components\database-test-panel.tsx"
"translated","translated","components\chat-interface.tsx"
"typeyourmessage","typeYourMessage","components\chat-interface.tsx"
"emergency_response_team","Emergency Response Team","components\chat-interface.tsx"
"active_responding","Active · Responding","components\chat-interface.tsx"
"loading_messages","Loading messages...","components\chat-interface.tsx"
"no_messages_yet_start_the_conversation","No messages yet. Start the conversation.","components\chat-interface.tsx"
"messages_auto_translate_to_responder_s_language","Messages auto-translate to responder's language","components\chat-interface.tsx"
"you_re_a_responder","You're a Responder!","components\become-responder.tsx"
"become_a_responder","Become a Responder","components\become-responder.tsx"
"organization_name","Organization / Name","components\become-responder.tsx"
"specializations","Specializations","components\become-responder.tsx"
"response_radius_km","Response Radius (km)","components\become-responder.tsx"
"location_tracking","Location Tracking","components\become-responder.tsx"
"e_g_city_hospital_fire_dept_volunteer","e.g., City Hospital, Fire Dept, Volunteer","components\become-responder.tsx"
"active_alerts","Active Alerts","components\active-alerts.tsx"
"real_time_emergency_alerts_in_your_area","Real-time emergency alerts in your area","components\active-alerts.tsx"
"no_active_alerts_in_your_area","No active alerts in your area","components\active-alerts.tsx"
"user_id_alert_user_id_slice_0_8","User ID: {alert.user_id.slice(0, 8)}...","components\active-alerts.tsx"
"showing_alerts_within_10km_radius","Showing alerts within 10km radius","components\active-alerts.tsx"
"sidebar","Sidebar","components\ui\sidebar.tsx"
"displays_the_mobile_sidebar","Displays the mobile sidebar.","components\ui\sidebar.tsx"
"toggle_sidebar","Toggle Sidebar","components\ui\sidebar.tsx"
"close","Close","components\ui\sheet.tsx; components\ui\dialog.tsx"
"previous","Previous","components\ui\pagination.tsx"
"next","Next","components\ui\pagination.tsx"
"more_pages","More pages","components\ui\pagination.tsx"
"pagination","pagination","components\ui\pagination.tsx"
"go_to_previous_page","Go to previous page","components\ui\pagination.tsx"
"go_to_next_page","Go to next page","components\ui\pagination.tsx"
"button","button","components\ui\input-group.tsx"
"previous_slide","Previous slide","components\ui\carousel.tsx"
"next_slide","Next slide","components\ui\carousel.tsx"
"more","More","components\ui\breadcrumb.tsx"
"breadcrumb","breadcrumb","components\ui\breadcrumb.tsx"
"response_time_analytics","Response Time Analytics","components\dashboard\response-time-analytics.tsx"
"average_response_time_by_type","Average Response Time by Type","components\dashboard\response-time-analytics.tsx"
"performance_summary","Performance Summary","components\dashboard\response-time-analytics.tsx"
"overall_average","Overall Average","components\dashboard\response-time-analytics.tsx"
"across_all_emergency_types","Across all emergency types","components\dashboard\response-time-analytics.tsx"
"total_resolved","Total Resolved","components\dashboard\response-time-analytics.tsx"
"successfully_responded_alerts","Successfully responded alerts","components\dashboard\response-time-analytics.tsx"
"id_name_type_active_status","id, name, type, active, status","components\dashboard\responder-status.tsx"
"team_status","Team Status","components\dashboard\responder-status.tsx"
"loading_team_status","Loading team status...","components\dashboard\responder-status.tsx"
"recentactivity","recentActivity","components\dashboard\recent-activity.tsx"
"norecentactivity","noRecentActivity","components\dashboard\recent-activity.tsx"
"responder_dashboard","Responder Dashboard","components\dashboard\header.tsx"
"geographic_alert_distribution","Geographic Alert Distribution","components\dashboard\geographic-analytics.tsx"
"total_alerts","Total Alerts","components\dashboard\geographic-analytics.tsx"
"with_location","With Location","components\dashboard\geographic-analytics.tsx"
"urban_areas","Urban Areas","components\dashboard\geographic-analytics.tsx"
"rural_areas","Rural Areas","components\dashboard\geographic-analytics.tsx"
"recent_alerts","Recent Alerts","components\dashboard\alerts-table.tsx"
"real_time_emergency_alerts_requiring_attention","Real-time emergency alerts requiring attention","components\dashboard\alerts-table.tsx"
"view_all","View All","components\dashboard\alerts-table.tsx"
"alert_id","Alert ID","components\dashboard\alerts-table.tsx"
"type","Type","components\dashboard\alerts-table.tsx"
"priority","Priority","components\dashboard\alerts-table.tsx"
"responder","Responder","components\dashboard\alerts-table.tsx"
"actions","Actions","components\dashboard\alerts-table.tsx"
"alert_trends_7_days","Alert Trends (7 Days)","components\dashboard\alert-trends-chart.tsx"
"total","Total","components\dashboard\alert-trends-chart.tsx"
"medical","Medical","components\dashboard\alert-trends-chart.tsx"
"fire","Fire","components\dashboard\alert-trends-chart.tsx"
"security","Security","components\dashboard\alert-trends-chart.tsx"
"activity_heatmap","Activity Heatmap","components\dashboard\activity-map.tsx"
"active","Active","components\dashboard\activity-map.tsx"
"responding","Responding","components\dashboard\activity-map.tsx"
"resolved","Resolved","components\dashboard\activity-map.tsx"
"hospital_medical_center","Hospital / Medical Center","components\auth\register-form.tsx"
"ngo_relief_organization","NGO / Relief Organization","components\auth\register-form.tsx"
"volunteer_responder","Volunteer Responder","components\auth\register-form.tsx"
"fire_department","Fire Department","components\auth\register-form.tsx"
"police_security","Police / Security","components\auth\register-form.tsx"
"john_doe","John Doe","components\auth\register-form.tsx"
"responder_example_com","responder@example.com","components\auth\register-form.tsx"
"red_cross_city_hospital_etc","Red Cross, City Hospital, etc.","components\auth\register-form.tsx"
"select_your_role","Select your role","components\auth\register-form.tsx"
"successfullysignedin","successfullySignedIn","components\auth\login-form.tsx"
"failedtosignin","failedToSignIn","components\auth\login-form.tsx"
"status_responders","status, responders","lib\sos-system.ts"
"id_user_id_profiles_user_id_name_organization","id,
        user_id,
        profiles:user_id (
          name,
          organization
        )","lib\sos-system.ts"
